Year,Education,Age Group,Marital Status,Children Ever Born per Woman,Total Women,Childlessness
2020,Not a high school graduate,15 - 44,All Marital Statuses,0.69,10330000.0,0.74
2020,"Some college, no degree",15 - 44,All Marital Statuses,0.922,11590000.0,0.5720000000000001
2020,Associate's degree,15 - 50,All Marital Statuses,1.401,7097000.0,0.355
2020,Bachelor's degree,15 - 50,All Marital Statuses,1.115,18580000.0,0.467
2020,Graduate or professional degree,15 - 50,All Marital Statuses,1.261,10010000.0,0.366
2020,High school graduate,15 - 50,All Marital Statuses,1.357,15960000.0,0.391
2020,Not a high school graduate,15 - 50,All Marital Statuses,0.879,11330000.0,0.6809999999999999
2020,"Some college, no degree",15 - 50,All Marital Statuses,1.07,13270000.0,0.518
2020,Associate's degree,20 - 29,All Marital Statuses,0.559,2131000.0,0.669
2020,Bachelor's degree,20 - 29,All Marital Statuses,0.252,6139000.0,0.84
2020,Graduate or professional degree,20 - 29,All Marital Statuses,0.268,1471000.0,0.8370000000000001
2020,High school graduate,20 - 29,All Marital Statuses,0.734,5203000.0,0.58
2020,Not a high school graduate,20 - 29,All Marital Statuses,1.18,1076000.0,0.444
2020,"Some college, no degree",20 - 29,All Marital Statuses,0.383,5737000.0,0.757
2020,Associate's degree,30 - 39,All Marital Statuses,1.551,2383000.0,0.294
2020,Bachelor's degree,30 - 39,All Marital Statuses,1.26,6463000.0,0.364
2020,Graduate or professional degree,30 - 39,All Marital Statuses,1.173,4327000.0,0.374
2020,High school graduate,30 - 39,All Marital Statuses,1.804,4170000.0,0.22699999999999998
2020,Not a high school graduate,30 - 39,All Marital Statuses,2.559,1431000.0,0.14
2020,"Some college, no degree",30 - 39,All Marital Statuses,1.696,3230000.0,0.254
2020,Associate's degree,40 - 50,All Marital Statuses,2.001,2514000.0,0.136
2020,Bachelor's degree,40 - 50,All Marital Statuses,1.863,5899000.0,0.19
2020,Graduate or professional degree,40 - 50,All Marital Statuses,1.702,4196000.0,0.192
2020,High school graduate,40 - 50,All Marital Statuses,2.092,4869000.0,0.134
2020,Not a high school graduate,40 - 50,All Marital Statuses,2.676,1810000.0,0.077
2020,"Some college, no degree",40 - 50,All Marital Statuses,2.138,3023000.0,0.153
